numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,avgNumRequests,avgTamanhoResposta,avgTotalImageSize,avgRequestsJS,avgRequestsHTML,avgRequestsCSS,totalSilenceTime,avgSilenceTime,silenceCount,Label
245,6835717,5509434,70,19,60,24.5,683571.7,550943.4,7,1.9,6,293,16.27777778,18,1
197,4538787,3296030,67,19,59,19.7,453878.7,329603,6.7,1.9,5.9,280,15.55555556,18,1
282,10168290,8801107,69,20,61,28.2,1016829,880110.7,6.9,2,6.1,288,15.15789474,19,1
292,10102367,8779919,68,20,61,29.2,1010236.7,877991.9,6.8,2,6.1,292,15.36842105,19,1
288,11217973,10043672,57,20,55,28.8,1121797.3,1004367.2,5.7,2,5.5,273,14.36842105,19,1
270,10902629,9853377,51,19,51,27,1090262.9,985337.7,5.1,1.9,5.1,264,14.66666667,18,1
279,10869817,9743702,60,20,55,27.9,1086981.7,974370.2,6,2,5.5,284,14.94736842,19,1
203,5115571,3988784,66,20,58,20.3,511557.1,398878.4,6.6,2,5.8,286,15.05263158,19,1
175,4018729,3013732,62,19,50,17.5,401872.9,301373.2,6.2,1.9,5,272,15.11111111,18,1
204,4813001,3591645,75,19,59,20.4,481300.1,359164.5,7.5,1.9,5.9,277,15.38888889,18,1
250,5748217,4330661,83,21,72,25,574821.7,433066.1,8.3,2.1,7.2,292,14.6,20,1
244,6088696,4722483,79,20,67,24.4,608869.6,472248.3,7.9,2,6.7,281,14.78947368,19,1
255,7139895,5802104,77,19,68,25.5,713989.5,580210.4,7.7,1.9,6.8,277,15.38888889,18,1
