numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,totalSilenceTime,silenceCount,Label
629,13365861,10190252,172,41,148,280,40,1
634,13362906,10153126,173,42,149,287,41,1
681,14245193,10808304,187,42,160,287,41,1
643,13720463,10497224,175,41,152,280,40,1
615,13483781,10423596,163,42,150,287,41,1
702,15494428,12079242,190,42,170,287,41,1
684,14520530,11122280,187,41,167,280,40,1
645,14095435,11012342,176,42,158,287,41,1
665,14435561,11327780,185,42,159,287,41,1
677,14464438,11267104,186,41,165,280,40,1
623,13126585,10198227,173,42,151,287,41,1
631,13820886,10948371,173,42,153,288,41,1
625,13317607,10412877,169,41,154,282,40,1
414,9795208,7868718,121,30,98,291,29,1
410,10051224,8157436,121,30,99,291,29,1
367,8511352,6776226,110,30,92,290,29,1
406,10600455,8799682,112,30,96,290,29,1
384,11161946,9434208,101,29,91,280,28,1
438,13708222,11797476,105,29,102,280,28,1
436,14068506,12193400,100,29,100,280,28,1
506,16163075,14014957,115,29,111,280,28,1
535,17325523,14986972,127,29,121,280,28,1
565,17864951,15437110,130,30,128,290,29,1
507,14759464,12537340,121,30,123,290,29,1
488,13587392,11387789,118,30,119,290,29,1
423,11288435,9301423,109,30,112,290,29,1
377,8689015,6861708,100,30,101,290,29,1
321,6556110,4876118,90,29,89,280,28,1
318,6689160,5039008,88,29,84,282,28,1
326,6844555,5129394,95,29,88,282,28,1
382,9092551,7106578,108,29,98,282,28,1
350,7870891,5957641,103,29,94,282,28,1
408,10746667,8710036,116,30,100,291,29,1
409,10984683,8889408,115,30,103,290,29,1
440,12637954,10469460,122,30,103,290,29,1
421,12583085,10589296,113,30,92,290,29,1
478,14815218,12666576,125,29,100,280,28,1
485,14359293,12173011,128,29,103,280,28,1
503,14470952,12166376,142,29,110,280,28,1
531,14603681,12086500,152,29,121,280,28,1
534,14470974,11852684,157,29,128,281,28,1
514,14037975,11509432,149,30,122,291,29,1
477,13233871,10973462,135,30,116,291,29,1
460,13015037,10882087,124,30,109,291,29,1
433,11620788,9521852,117,30,104,292,29,1
403,10174237,8143341,109,29,103,281,28,1
424,11525872,9461941,110,29,113,281,28,1
442,10779016,8463524,124,29,122,281,28,1
444,10726272,8433410,125,29,119,281,28,1
439,11462670,9294209,121,29,114,280,28,1
479,12279921,9980773,132,30,120,290,29,1
457,10273879,7868503,142,30,112,290,29,1
447,10716330,8461848,131,30,108,290,29,1
472,12437877,10100087,138,30,110,290,29,1
477,11928623,9566644,140,30,117,290,29,1
431,10622132,8483163,130,29,103,280,28,1
425,10684913,8668168,114,29,102,280,28,1
437,12246769,10152462,118,29,99,280,28,1
438,11605880,9411904,117,29,106,280,28,1
426,11658953,9504541,113,29,99,280,28,1
508,13920653,11502629,130,30,122,291,29,1
493,12603463,10226121,135,30,127,291,29,1
439,9841758,7730725,122,30,117,292,29,1
430,9080085,7111252,121,30,112,292,29,1
455,9051751,6906500,133,29,121,282,28,1
435,9739873,7744038,120,29,108,281,28,1
452,12100121,10213507,112,29,103,281,28,1
505,14559771,12477806,126,29,116,281,28,1
533,15609086,13446225,129,29,123,281,28,1
486,19462204,17489364,118,30,101,290,29,1
449,16061626,14106246,119,30,107,290,29,1
451,16379978,14570654,113,29,108,281,28,1
399,11318863,9441121,119,29,108,281,28,1
357,7909228,6148546,116,29,100,281,28,1
349,7944337,6235192,106,29,102,281,28,1
370,7832437,6053854,111,29,104,281,28,1
333,6585655,4938971,101,30,94,290,29,1
347,6941843,5311472,99,29,96,280,28,1
365,8274923,6527742,107,29,99,280,28,1
339,8700920,7129671,96,29,87,280,28,1
310,7179464,5600498,91,29,85,280,28,1
350,8792679,7100718,100,29,91,280,28,1
344,9284602,7560468,101,30,88,290,29,1
335,7780285,5903712,106,30,95,291,29,1
344,6593710,4511426,121,30,101,291,29,1
352,8222010,6234840,122,29,101,281,28,1
353,8456652,6320335,127,29,106,281,28,1
363,9473943,7474354,122,29,104,281,28,1
