numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,avgNumRequests,avgTamanhoResposta,avgTotalImageSize,avgRequestsJS,avgRequestsHTML,avgRequestsCSS,totalSilenceTime,avgSilenceTime,silenceCount
44.0,1584398.0,1271750.0,15.0,8.0,10.0,4.4,158439.8,127175.0,1.5,0.8,1.0,292.0,41.714285714285715,7.0
40.0,1635306.0,1364698.0,13.0,7.0,10.0,4.0,163530.6,136469.8,1.3,0.7,1.0,241.0,40.166666666666664,6.0
40.0,1633096.0,1402959.0,12.0,8.0,10.0,4.0,163309.6,140295.9,1.2,0.8,1.0,274.0,39.142857142857146,7.0
41.0,1793165.0,1596545.0,13.0,7.0,9.0,4.1,179316.5,159654.5,1.3,0.7,0.9,230.0,38.333333333333336,6.0
56.0,1943662.0,1600937.0,19.0,8.0,16.0,5.6,194366.2,160093.7,1.9,0.8,1.6,274.0,39.142857142857146,7.0
54.0,1871814.0,1606118.0,17.0,7.0,15.0,5.4,187181.4,160611.8,1.7,0.7,1.5,232.0,38.666666666666664,6.0
70.0,1794810.0,1358756.0,24.0,8.0,19.0,7.0,179481.0,135875.6,2.4,0.8,1.9,281.0,40.142857142857146,7.0
73.0,1816830.0,1385168.0,23.0,7.0,19.0,7.3,181683.0,138516.8,2.3,0.7,1.9,238.0,39.666666666666664,6.0
90.0,2499866.0,2073868.0,20.0,8.0,17.0,9.0,249986.6,207386.8,2.0,0.8,1.7,279.0,39.857142857142854,7.0
81.0,2376912.0,2076979.0,14.0,7.0,13.0,8.1,237691.2,207697.9,1.4,0.7,1.3,243.0,40.5,6.0
79.0,2438791.0,2156544.0,11.0,8.0,12.0,7.9,243879.1,215654.4,1.1,0.8,1.2,280.0,40.0,7.0
61.0,2054574.0,1941053.0,3.0,7.0,8.0,6.1,205457.4,194105.3,0.3,0.7,0.8,244.0,40.666666666666664,6.0
65.0,1840056.0,1703396.0,5.0,8.0,11.0,6.5,184005.6,170339.6,0.5,0.8,1.1,283.0,40.42857142857143,7.0
43.0,706296.0,576602.0,7.0,7.0,12.0,4.3,70629.6,57660.2,0.7,0.7,1.2,244.0,40.666666666666664,6.0
46.0,1366737.0,1204125.0,8.0,7.0,10.0,4.6,136673.7,120412.5,0.8,0.7,1.0,250.0,41.666666666666664,6.0
54.0,1693397.0,1513341.0,12.0,7.0,10.0,5.4,169339.7,151334.1,1.2,0.7,1.0,254.0,42.333333333333336,6.0
55.0,1722030.0,1513341.0,13.0,7.0,10.0,5.5,172203.0,151334.1,1.3,0.7,1.0,264.0,44.0,6.0
60.0,1988828.0,1731044.0,15.0,7.0,11.0,6.0,198882.8,173104.4,1.5,0.7,1.1,250.0,41.666666666666664,6.0
58.0,1898689.0,1632985.0,14.0,7.0,12.0,5.8,189868.9,163298.5,1.4,0.7,1.2,244.0,40.666666666666664,6.0
55.0,1591435.0,1375026.0,11.0,8.0,12.0,5.5,159143.5,137502.6,1.1,0.8,1.2,286.0,40.857142857142854,7.0
47.0,1207066.0,985456.0,11.0,7.0,11.0,4.7,120706.6,98545.6,1.1,0.7,1.1,247.0,41.166666666666664,6.0
50.0,1237385.0,989848.0,13.0,7.0,11.0,5.0,123738.5,98984.8,1.3,0.7,1.1,259.0,43.166666666666664,6.0
54.0,985833.0,701531.0,16.0,7.0,12.0,5.4,98583.3,70153.1,1.6,0.7,1.2,260.0,43.333333333333336,6.0
56.0,999038.0,697139.0,18.0,7.0,13.0,5.6,99903.8,69713.9,1.8,0.7,1.3,250.0,41.666666666666664,6.0
57.0,1027696.0,691389.0,20.0,7.0,15.0,5.7,102769.6,69138.9,2.0,0.7,1.5,245.0,40.833333333333336,6.0
