numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,avgNumRequests,avgTamanhoResposta,avgTotalImageSize,avgRequestsJS,avgRequestsHTML,avgRequestsCSS,totalSilenceTime,avgSilenceTime,silenceCount
39.0,212652.0,104243.0,19.0,6.0,0.0,3.9,21265.2,10424.3,1.9,0.6,0.0,247.0,35.285714285714285,7.0
32.0,212884.0,100345.0,19.0,7.0,0.0,3.2,21288.4,10034.5,1.9,0.7,0.0,271.0,38.714285714285715,7.0
7.0,21898.0,5390.0,0.0,4.0,0.0,0.7,2189.8,539.0,0.0,0.4,0.0,156.0,31.2,5.0
7.0,21898.0,5390.0,0.0,4.0,0.0,0.7,2189.8,539.0,0.0,0.4,0.0,156.0,31.2,5.0
36.0,384818.0,250216.0,14.0,8.0,0.0,3.6,38481.8,25021.6,1.4,0.8,0.0,267.0,26.7,10.0
39.0,382051.0,249715.0,14.0,8.0,0.0,3.9,38205.1,24971.5,1.4,0.8,0.0,239.0,23.9,10.0
41.0,387656.0,252165.0,14.0,8.0,0.0,4.1,38765.6,25216.5,1.4,0.8,0.0,242.0,22.0,11.0
47.0,508227.0,359713.0,14.0,12.0,0.0,4.7,50822.7,35971.3,1.4,1.2,0.0,210.0,14.0,15.0
69.0,598202.0,360200.0,33.0,13.0,0.0,6.9,59820.2,36020.0,3.3,1.3,0.0,272.0,16.0,17.0
44.0,252168.0,119788.0,19.0,12.0,0.0,4.4,25216.8,11978.8,1.9,1.2,0.0,260.0,18.571428571428573,14.0
1184.4646103896105,2988996545870.2104,2865287935744.398,171.74545454545455,9.515584415584414,2.685714285714286,11.844646103896103,29889965458.702103,28652879357.443974,1.7174545454545453,0.09515584415584416,0.02685714285714286,2175.2883116883113,653.6579333683966,12.410064935064936
34.416051638582985,1728871.4659772168,1692716.1415146952,13.105169001026066,3.084734091552206,1.6388149028228558,3.441605163858298,172887.14659772167,169271.61415146952,1.3105169001026067,0.30847340915522065,0.16388149028228557,46.6399861887663,25.566734898465164,3.522792207193739
