numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,avgNumRequests,avgTamanhoResposta,avgTotalImageSize,avgRequestsJS,avgRequestsHTML,avgRequestsCSS,totalSilenceTime,avgSilenceTime,silenceCount
516,10318009,7837169,126,41,137,51.6,1031800.9,783716.9,12.6,4.1,13.7,289.0,7.225,40
544,11213211,8662136,138,42,138,54.4,1121321.1,866213.6,13.8,4.2,13.8,288.0,7.024390243902439,41
511,10501702,8097510,132,42,127,51.1,1050170.2,809751.0,13.2,4.2,12.7,288.0,7.024390243902439,41
518,10959903,8450759,138,42,122,51.8,1095990.3,845075.9,13.8,4.2,12.2,288.0,7.024390243902439,41
576,12192232,9316107,154,42,137,57.6,1219223.2,931610.7,15.4,4.2,13.7,288.0,7.024390243902439,41
574,11848273,8954816,154,42,141,57.4,1184827.3,895481.6,15.4,4.2,14.1,287.0,7.0,41
542,11081602,8246909,146,41,138,54.2,1108160.2,824690.9,14.6,4.1,13.8,287.0,7.0,41
614,12138445,8934518,168,42,154,61.4,1213844.5,893451.8,16.8,4.2,15.4,287.0,7.0,41
604,11816374,8670454,160,42,158,60.4,1181637.4,867045.4,16.0,4.2,15.8,287.0,7.0,41
634,12819800,9580539,165,41,168,63.4,1281980.0,958053.9,16.5,4.1,16.8,280.0,7.0,40
707,14849489,11250551,188,42,181,70.7,1484948.9,1125055.1,18.8,4.2,18.1,287.0,7.0,41
790,16759937,12804377,212,42,198,79.0,1675993.7,1280437.7,21.2,4.2,19.8,287.0,7.0,41
765,16804591,12916419,208,41,192,76.5,1680459.1,1291641.9,20.8,4.1,19.2,280.0,7.0,40
786,16941944,12942856,218,42,190,78.6,1694194.4,1294285.6,21.8,4.2,19.0,287.0,7.0,41
724,15274065,11499674,209,42,171,72.4,1527406.5,1149967.4,20.9,4.2,17.1,287.0,7.0,41
672,13957343,10441407,199,41,152,67.2,1395734.3,1044140.7,19.9,4.1,15.2,280.0,7.0,40
651,12797114,9394465,192,42,150,65.1,1279711.4,939446.5,19.2,4.2,15.0,287.0,7.0,41
628,12656214,9356951,185,42,142,62.8,1265621.4,935695.1,18.5,4.2,14.2,287.0,7.0,41
597,12020706,8970956,171,41,141,59.7,1202070.6,897095.6,17.1,4.1,14.1,280.0,7.0,40
602,12174982,9205876,169,42,144,60.2,1217498.2,920587.6,16.9,4.2,14.4,288.0,7.024390243902439,41
617,12409634,9422575,169,42,153,61.7,1240963.4,942257.5,16.9,4.2,15.3,288.0,7.024390243902439,41
585,11893795,9088821,160,42,145,58.5,1189379.5,908882.1,16.0,4.2,14.5,288.0,7.024390243902439,41
550,10971373,8332428,150,42,135,55.0,1097137.3,833242.8,15.0,4.2,13.5,288.0,7.024390243902439,41
559,11313962,8620004,154,42,135,55.9,1131396.2,862000.4,15.4,4.2,13.5,288.0,7.024390243902439,41
553,11761882,9063723,150,42,135,55.3,1176188.2,906372.3,15.0,4.2,13.5,287.0,7.0,41
531,11063837,8420148,146,42,125,53.1,1106383.7,842014.8,14.6,4.2,12.5,287.0,7.0,41
565,12341034,9493913,153,42,132,56.5,1234103.4,949391.3,15.3,4.2,13.2,287.0,7.0,41
605,13056320,10137956,167,42,145,60.5,1305632.0,1013795.6,16.7,4.2,14.5,288.0,7.024390243902439,41
616,13251397,10176613,177,42,148,61.6,1325139.7,1017661.3,17.7,4.2,14.8,288.0,7.024390243902439,41
628,13149893,9992034,184,42,144,62.8,1314989.3,999203.4,18.4,4.2,14.4,288.0,7.024390243902439,41
609,12775402,9740697,175,42,144,60.9,1277540.2,974069.7,17.5,4.2,14.4,288.0,7.024390243902439,41
574,11935685,9091932,167,41,139,57.4,1193568.5,909193.2,16.7,4.1,13.9,288.0,7.024390243902439,41
570,11905841,9010368,160,42,143,57.0,1190584.1,901036.8,16.0,4.2,14.3,287.0,7.0,41
570,12143455,9304595,154,42,143,57.0,1214345.5,930459.5,15.4,4.2,14.3,287.0,7.0,41
601,12701485,9794305,165,42,154,60.1,1270148.5,979430.5,16.5,4.2,15.4,287.0,7.0,41
634,13565843,10502852,174,42,163,63.4,1356584.3,1050285.2,17.4,4.2,16.3,287.0,7.0,41
637,13575040,10456795,177,42,159,63.7,1357504.0,1045679.5,17.7,4.2,15.9,287.0,7.0,41
665,13717843,10427912,191,42,157,66.5,1371784.3,1042791.2,19.1,4.2,15.7,287.0,7.0,41
659,13618346,10387110,188,42,161,65.9,1361834.6,1038711.0,18.8,4.2,16.1,287.0,7.0,41
669,14059882,10785887,187,41,163,66.9,1405988.2,1078588.7,18.7,4.1,16.3,280.0,7.0,40
660,13947324,10672830,184,41,161,66.0,1394732.4,1067283.0,18.4,4.1,16.1,280.0,7.0,40
685,14223492,10790644,190,42,168,68.5,1422349.2,1079064.4,19.0,4.2,16.8,287.0,7.0,41
676,14393580,11047235,186,41,164,67.6,1439358.0,1104723.5,18.6,4.1,16.4,280.0,7.0,40
629,13365861,10190252,172,41,148,62.9,1336586.1,1019025.2,17.2,4.1,14.8,280.0,7.0,40
634,13362906,10153126,173,42,149,63.4,1336290.6,1015312.6,17.3,4.2,14.9,287.0,7.0,41
681,14245193,10808304,187,42,160,68.1,1424519.3,1080830.4,18.7,4.2,16.0,287.0,7.0,41
643,13720463,10497224,175,41,152,64.3,1372046.3,1049722.4,17.5,4.1,15.2,280.0,7.0,40
615,13483781,10423596,163,42,150,61.5,1348378.1,1042359.6,16.3,4.2,15.0,287.0,7.0,41
702,15494428,12079242,190,42,170,70.2,1549442.8,1207924.2,19.0,4.2,17.0,287.0,7.0,41
684,14520530,11122280,187,41,167,68.4,1452053.0,1112228.0,18.7,4.1,16.7,280.0,7.0,40
645,14095435,11012342,176,42,158,64.5,1409543.5,1101234.2,17.6,4.2,15.8,287.0,7.0,41
665,14435561,11327780,185,42,159,66.5,1443556.1,1132778.0,18.5,4.2,15.9,287.0,7.0,41
677,14464438,11267104,186,41,165,67.7,1446443.8,1126710.4,18.6,4.1,16.5,280.0,7.0,40
623,13126585,10198227,173,42,151,62.3,1312658.5,1019822.7,17.3,4.2,15.1,287.0,7.0,41
631,13820886,10948371,173,42,153,63.1,1382088.6,1094837.1,17.3,4.2,15.3,288.0,7.024390243902439,41
625,13317607,10412877,169,41,154,62.5,1331760.7,1041287.7,16.9,4.1,15.4,282.0,7.05,40
