numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,avgNumRequests,avgTamanhoResposta,avgTotalImageSize,avgRequestsJS,avgRequestsHTML,avgRequestsCSS,totalSilenceTime,avgSilenceTime,silenceCount,Label,
16,962733,951184,0,3,0,1.6,96273.3,95118.4,0,0.3,0,55,27.5,2,1,
17,963221,951672,0,3,0,1.7,96322.1,95167.2,0,0.3,0,75,25,3,1,
26,1984713,1968689,0,4,0,2.6,198471.3,196868.9,0,0.4,0,149,37.25,4,1,
26,1984713,1968689,0,4,0,2.6,198471.3,196868.9,0,0.4,0,149,37.25,4,1,
25,1979435,1968689,0,3,0,2.5,197943.5,196868.9,0,0.3,0,138,46,3,1,
10,1021980,1017505,0,1,0,1,102198,101750.5,0,0.1,0,74,74,1,1,
9,1021492,1017017,0,1,0,0.9,102149.2,101701.7,0,0.1,0,0,0,0,1,
1,3687,0,0,1,0,0.1,368.7,0,0,0.1,0,0,0,0,1,
6,263897,256578,0,2,0,0.6,26389.7,25657.8,0,0.2,0,112,112,1,1,
9,756309,744860,0,3,0,0.9,75630.9,74486,0,0.3,0,121,60.5,2,1,
9,756309,744860,0,3,0,0.9,75630.9,74486,0,0.3,0,121,60.5,2,1,
9,756309,744860,0,3,0,0.9,75630.9,74486,0,0.3,0,121,60.5,2,1,
10,771310,760393,0,3,0,1,77131,76039.3,0,0.3,0,215,107.5,2,1,
6,514255,503815,0,2,0,0.6,51425.5,50381.5,0,0.2,0,276,138,2,1,
4,25406,15533,0,2,0,0.4,2540.6,1553.3,0,0.2,0,89,44.5,2,1,
4,25406,15533,0,2,0,0.4,2540.6,1553.3,0,0.2,0,89,44.5,2,1,
4,25406,15533,0,2,0,0.4,2540.6,1553.3,0,0.2,0,89,44.5,2,1,
5,228147,218740,0,3,0,0.5,22814.7,21874,0,0.3,0,252,84,3,1,
4,224992,218740,0,3,0,0.4,22499.2,21874,0,0.3,0,233,116.5,2,1,
3,221429,218740,0,2,0,0.3,22142.9,21874,0,0.2,0,8,8,1,1,
13,342338,334632,0,3,0,1.3,34233.8,33463.2,0,0.3,0,154,77,2,1,
13,342338,334632,0,3,0,1.3,34233.8,33463.2,0,0.3,0,154,77,2,1,
10,120909,115892,0,1,0,1,12090.9,11589.2,0,0.1,0,0,0,0,1,
10,120909,115892,0,1,0,1,12090.9,11589.2,0,0.1,0,0,0,0,1,
10,120909,115892,0,1,0,1,12090.9,11589.2,0,0.1,0,0,0,0,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
32,1217520,1093705,10,1,4,3.2,121752,109370.5,1,0.1,0.4,17,17,1,1,
41,1230181,1096155,16,2,4,4.1,123018.1,109615.5,1.6,0.2,0.4,73,24.333333333333332,3,1,
49,1238604,1096155,22,4,4,4.9,123860.4,109615.5,2.2,0.4,0.4,117,23.4,5,1,
131,6413829,6202326,31,5,5,13.1,641382.9,620232.6,3.1,0.5,0.5,200,25,8,1,
131,6413829,6202326,31,5,5,13.1,641382.9,620232.6,3.1,0.5,0.5,200,25,8,1,
99,5196309,5108621,21,4,1,9.9,519630.9,510862.1,2.1,0.4,0.1,130,21.666666666666668,6,1,
90,5183648,5106171,15,3,1,9,518364.8,510617.1,1.5,0.3,0.1,100,25,4,1,
82,5175225,5106171,9,1,1,8.2,517522.5,510617.1,0.9,0.1,0.1,36,18,2,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2,42126,40549,0,1,0,0.2,4212.6,4054.9,0,0.1,0,0,0,0,1,
5,92001,87189,0,2,0,0.5,9200.1,8718.9,0,0.2,0,41,20.5,2,1,
5,92001,87189,0,2,0,0.5,9200.1,8718.9,0,0.2,0,41,20.5,2,1,
8,192235,182145,0,3,0,0.8,19223.5,18214.5,0,0.3,0,142,47.333333333333336,3,1,
8,192235,182145,0,3,0,0.8,19223.5,18214.5,0,0.3,0,142,47.333333333333336,3,1,
6,150109,141596,0,2,0,0.6,15010.9,14159.6,0,0.2,0,130,65,2,1,
8,102670,97392,0,1,0,0.8,10267,9739.2,0,0.1,0,175,87.5,2,1,
8,102670,97392,0,1,0,0.8,10267,9739.2,0,0.1,0,175,87.5,2,1,
5,2436,2436,0,0,0,0.5,243.6,243.6,0,0,0,4,4,1,1,
5,2436,2436,0,0,0,0.5,243.6,243.6,0,0,0,4,4,1,1,
5,2436,2436,0,0,0,0.5,243.6,243.6,0,0,0,4,4,1,1,
4,1949,0,4,0,0,0.4,194.9,0,0.4,0,0,0,0,0,1,
