numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,avgNumRequests,avgTamanhoResposta,avgTotalImageSize,avgRequestsJS,avgRequestsHTML,avgRequestsCSS,totalSilenceTime,avgSilenceTime,silenceCount,Label
48,423211,151451,20,8,12,4.8,42321.1,15145.1,2.0,0.8,1.2,270.0,38.57142857142857,7,1
54,614427,395897,20,8,12,5.4,61442.7,39589.7,2.0,0.8,1.2,254.0,36.285714285714285,7,1
24,294593,200407,3,7,3,2.4,29459.3,20040.7,0.3,0.7,0.3,240.0,40.0,6,1
27,764907,668982,2,6,4,2.7,76490.7,66898.2,0.2,0.6,0.4,257.0,51.4,5,1
27,791259,705324,2,6,4,2.7,79125.9,70532.4,0.2,0.6,0.4,252.0,50.4,5,1
44,1746146,1646533,4,8,5,4.4,174614.6,164653.3,0.4,0.8,0.5,278.0,39.71428571428572,7,1
49,1821350,1710409,5,9,7,4.9,182135.0,171040.9,0.5,0.9,0.7,299.0,37.375,8,1
46,1957426,1846413,5,9,7,4.6,195742.6,184641.3,0.5,0.9,0.7,291.0,36.375,8,1
43,1477601,1371739,8,9,6,4.3,147760.1,137173.9,0.8,0.9,0.6,262.0,32.75,8,1
47,1512820,1395106,10,10,6,4.7,151282.0,139510.6,1.0,1.0,0.6,261.0,29.0,9,1
31,554850,420937,10,8,4,3.1,55485.0,42093.7,1.0,0.8,0.4,241.0,34.42857142857143,7,1
31,646603,514435,11,8,2,3.1,64660.3,51443.5,1.1,0.8,0.2,246.0,35.142857142857146,7,1
32,430468,292666,11,8,3,3.2,43046.8,29266.6,1.1,0.8,0.3,275.0,39.285714285714285,7,1
28,709697,589646,7,7,3,2.8,70969.7,58964.6,0.7,0.7,0.3,242.0,40.333333333333336,6,1
24,897154,805019,4,6,2,2.4,89715.4,80501.9,0.4,0.6,0.2,237.0,47.4,5,1
29,1754749,1691200,2,7,2,2.9,175474.9,169120.0,0.2,0.7,0.2,262.0,43.66666666666666,6,1
28,1706676,1643997,0,6,3,2.8,170667.6,164399.7,0.0,0.6,0.3,199.0,39.8,5,1
32,1868715,1805669,0,8,2,3.2,186871.5,180566.9,0.0,0.8,0.2,289.0,41.285714285714285,7,1
34,1704500,1630814,2,9,2,3.4,170450.0,163081.4,0.2,0.9,0.2,286.0,35.75,8,1
33,1431381,1355732,3,9,2,3.3,143138.1,135573.2,0.3,0.9,0.2,259.0,32.375,8,1
27,546098,441136,4,8,2,2.7,54609.8,44113.6,0.4,0.8,0.2,246.0,35.142857142857146,7,1
31,1441011,1335335,5,10,2,3.1,144101.1,133533.5,0.5,1.0,0.2,286.0,31.77777777777778,9,1
28,1448598,1349268,5,8,2,2.8,144859.8,134926.8,0.5,0.8,0.2,276.0,39.42857142857143,7,1
27,1706000,1636674,4,7,1,2.7,170600.0,163667.4,0.4,0.7,0.1,266.0,44.333333333333336,6,1
35,2115553,2029771,4,7,2,3.5,211555.3,202977.1,0.4,0.7,0.2,271.0,45.16666666666666,6,1
