time_window_number,ip,mean_numRequests,mean_tamanhoResposta,mean_numRequestsJS,mean_numRequestsHTML,mean_numRequestsCSS,mean_numGET,variance_numRequests,variance_tamanhoResposta,variance_numRequestsJS,variance_numRequestsHTML,variance_numRequestsCSS,variance_numGET,covariance_numRequests_tamanhoResposta,covariance_numRequestsJS_numRequestsHTML_numRequestsCSS,covariance_numGET_numRequests
128,147.185.133.151,1.0,1012.0,0.0,0.0,0.0,1.0,,,,,,,,,
128,185.226.197.40,1.0,1012.0,0.0,0.0,0.0,1.0,,,,,,,,,
128,2.57.121.96,1.0,492.0,0.0,0.0,0.0,1.0,,,,,,,,,
130,95.111.225.53,1.0,1944.0,0.0,0.0,0.0,1.0,,,,,,,,,
136,59.126.22.26,1.0,1944.0,0.0,0.0,0.0,1.0,,,,,,,,,
137,179.43.191.98,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
137,185.242.226.10,1.0,1012.0,0.0,0.0,0.0,1.0,,,,,,,,,
138,194.50.16.198,1.0,455.0,0.0,0.0,0.0,1.0,,,,,,,,,
141,149.50.106.25,1.0,1925.0,0.0,0.0,0.0,1.0,,,,,,,,,
143,95.214.55.43,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
147,109.205.213.198,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
150,141.98.11.178,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
150,27.207.225.46,1.0,451.0,0.0,0.0,0.0,1.0,,,,,,,,,
155,114.33.112.54,1.0,1944.0,0.0,0.0,0.0,1.0,,,,,,,,,
156,109.205.213.198,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
158,95.214.55.79,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
162,125.229.244.119,1.0,1944.0,0.0,0.0,0.0,1.0,,,,,,,,,
164,45.83.64.205,1.0,492.0,0.0,0.0,0.0,1.0,,,,,,,,,
164,45.83.64.31,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
165,154.213.191.23,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
166,80.82.77.202,1.0,1944.0,0.0,0.0,0.0,1.0,,,,,,,,,
170,45.84.89.2,1.0,1925.0,0.0,0.0,0.0,1.0,,,,,,,,,
172,45.148.10.206,1.0,455.0,0.0,0.0,0.0,1.0,,,,,,,,,
173,154.213.191.23,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
177,62.210.114.63,1.0,1031.0,0.0,0.0,0.0,1.0,,,,,,,,,
178,95.214.53.91,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
180,154.213.191.23,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
180,162.158.6.44,5.0,2467.0,0.0,0.0,0.0,5.0,8.0,1940450.0,0.0,0.0,0.0,8.0,8.0,3940.0,0.0
180,162.158.6.45,1.0,494.0,0.0,0.0,0.0,1.0,,,,,,,,,
183,45.202.35.17,1.0,492.0,0.0,0.0,0.0,0.0,,,,,,,,,
184,179.43.168.146,25.0,12133.5,0.5,0.0,0.0,25.0,1058.0,188432284.5,0.5,0.0,0.0,1058.0,1058.0,446499.0,23.0
185,194.50.16.198,1.0,455.0,0.0,0.0,0.0,1.0,,,,,,,,,
187,46.19.138.234,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
188,87.120.125.126,1.0,455.0,0.0,0.0,0.0,1.0,,,,,,,,,
190,154.213.184.43,1.0,1925.0,0.0,0.0,0.0,1.0,,,,,,,,,
195,194.50.16.198,1.0,492.0,0.0,0.0,0.0,0.0,,,,,,,,,
198,179.43.191.98,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
201,59.126.22.26,1.0,1944.0,0.0,0.0,0.0,1.0,,,,,,,,,
204,154.213.184.43,1.0,1925.0,0.0,0.0,0.0,1.0,,,,,,,,,
208,178.215.238.67,1.0,455.0,0.0,0.0,0.0,1.0,,,,,,,,,
218,205.210.31.45,1.0,1012.0,0.0,0.0,0.0,1.0,,,,,,,,,
222,194.50.16.198,1.0,455.0,0.0,0.0,0.0,1.0,,,,,,,,,
222,93.174.93.12,1.0,1944.0,0.0,0.0,0.0,1.0,,,,,,,,,
223,104.171.150.15,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
229,13.91.165.51,1.0,436.0,0.0,0.0,0.0,1.0,,,,,,,,,
229,194.50.16.198,1.0,455.0,0.0,1.0,0.0,1.0,,,,,,,,,
230,178.215.238.67,1.0,455.0,0.0,0.0,0.0,1.0,,,,,,,,,
230,198.235.24.113,1.0,1944.0,0.0,0.0,0.0,1.0,,,,,,,,,
231,95.214.55.43,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
233,141.98.11.178,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
233,94.156.248.4,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
236,185.191.126.248,1.0,1925.0,0.0,0.0,0.0,1.0,,,,,,,,,
242,178.215.238.67,1.0,455.0,0.0,0.0,0.0,1.0,,,,,,,,,
245,87.120.115.34,1.0,455.0,0.0,0.0,0.0,1.0,,,,,,,,,
247,194.50.16.198,1.0,455.0,0.0,0.0,0.0,1.0,,,,,,,,,
247,45.202.35.17,1.0,492.0,0.0,0.0,0.0,0.0,,,,,,,,,
255,194.50.16.198,1.0,492.0,0.0,0.0,0.0,0.0,,,,,,,,,
256,95.214.55.79,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
257,88.59.246.0,1.0,1944.0,0.0,0.0,0.0,1.0,,,,,,,,,
260,84.0.85.41,1.0,1944.0,0.0,0.0,0.0,1.0,,,,,,,,,
265,178.215.238.67,1.0,455.0,0.0,0.0,0.0,1.0,,,,,,,,,
270,172.169.191.209,1.0,436.0,0.0,0.0,0.0,1.0,,,,,,,,,
273,94.156.248.4,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
276,139.59.214.98,8.0,9577.0,0.0,0.0,0.0,7.0,,,,,,,,,
