metric,mean_avgFileSize,mean_avgImageSize,mean_numGET,mean_numRequests,mean_numRequestsCSS,mean_numRequestsHTML,mean_numRequestsJS,mean_tamanhoResposta,variance_avgFileSize,variance_avgImageSize,variance_numGET,variance_numRequests,variance_numRequestsCSS,variance_numRequestsHTML,variance_numRequestsJS,variance_tamanhoResposta
mean,14062.555611853313,20564.845367987473,6.959375,6.959375,0.20833333333333334,1.2671130952380953,1.9907738095238094,186311.23645833335,702205456.4026775,1735400762.4487484,98.5188888888889,98.5188888888889,1.2888888888888888,0.9573015873015874,18.85587301587302,383916537374.5922
variance,232202674.62701437,520003759.1957344,42.11566550925927,42.11566550925927,0.38333333333333336,0.3858656226379441,7.160811696900982,119980736403.89354,1.6790618790753165e+18,6.392099270490004e+18,58164.62027248678,58164.62027248678,17.918518518518518,0.7917350718065004,539.0798201058202,1.5139833547112147e+24
time_window_number,ip,mean_numRequests,mean_tamanhoResposta,mean_avgFileSize,mean_avgImageSize,mean_numRequestsJS,mean_numRequestsHTML,mean_numRequestsCSS,mean_numGET,variance_numRequests,variance_tamanhoResposta,variance_avgFileSize,variance_avgImageSize,variance_numRequestsJS,variance_numRequestsHTML,variance_numRequestsCSS,variance_numGET
1,127.0.0.1,15.0,590984.6666666666,30489.06635802469,46380.69312169312,2.6666666666666665,0.6666666666666666,2.3333333333333335,15.0,157.0,264958872037.3333,856473977.2030249,1447481873.250777,21.333333333333336,1.3333333333333335,16.333333333333332,157.0
2,127.0.0.1,5.5,515229.5,53182.1,63563.6875,0.0,1.5,0.0,5.5,40.5,523351458612.5,4899529848.0199995,8080684737.1953125,0.0,0.5,0.0,40.5
3,127.0.0.1,6.25,227255.5,25942.291666666668,30587.864285714288,0.0,1.75,0.0,6.25,26.25,127717834508.33333,1506076604.3402777,2611238082.321293,0.0,0.25,0.0,26.25
4,127.0.0.1,25.8,1292015.0,35246.690350877194,62344.38098039215,3.0,2.2,1.0,25.8,957.2000000000002,4800607228218.0,1060919960.030948,2891814838.7585735,38.0,2.2,3.0,957.2000000000002
5,127.0.0.1,13.0,82394.0,24226.131406948745,36254.333333333336,9.333333333333334,2.0,0.0,13.0,76.0,12637963717.0,1622213272.1044354,3428198856.3333325,66.33333333333334,1.0,0.0,76.0
6,127.0.0.1,3.0,47528.0,13421.13605442177,43183.42857142857,1.2857142857142858,0.8571428571428571,0.0,3.0,6.333333333333333,6515542707.0,351659003.0462423,6314897006.619046,4.904761904761905,0.14285714285714288,0.0,6.333333333333333
7,127.0.0.1,1.5,4294.5,2760.0,2451.0,0.0,0.5,0.0,1.5,0.5,6796984.5,190962.0,0.0,0.0,0.5,0.0,0.5
8,127.0.0.1,2.3333333333333335,3750.0,1990.1666666666667,979.5,0.0,0.3333333333333333,0.0,2.3333333333333335,2.333333333333333,11334256.0,2850205.5833333335,1683398.25,0.0,0.33333333333333337,0.0,2.333333333333333
9,127.0.0.1,3.5,14191.0,5641.55,8747.0,0.0,1.0,0.0,3.5,4.5,40464008.0,27423677.405,92126738.0,0.0,0.0,0.0,4.5
10,127.0.0.1,8.4,27783.2,5231.3099999999995,1470.0,5.8,1.4,0.0,8.4,48.800000000000004,1231486380.2000003,31838238.874887757,1800750.0,25.7,0.8,0.0,48.800000000000004
11,127.0.0.1,2.6,9425.6,3783.6699999999996,3956.0,0.0,1.2,0.0,2.6,3.3000000000000003,84399653.8,3336838.5820000004,43070898.0,0.0,0.20000000000000007,0.0,3.3000000000000003
12,127.0.0.1,8.2,42237.2,3548.0289743589747,10180.55,3.8,1.2,0.0,8.2,34.7,6782582866.699999,26955836.242338587,435605015.3249999,27.200000000000003,1.7000000000000002,0.0,34.7
13,127.0.0.1,1.0,2675.25,2675.25,734.75,0.0,0.5,0.0,1.0,0.0,2622006.25,2622006.25,1362038.25,0.0,0.3333333333333333,0.0,0.0
14,127.0.0.1,7.6,75584.2,7307.676666666666,8016.671428571429,2.8,2.0,0.0,7.6,59.300000000000004,12133205872.699999,107897476.39772221,223661391.3612245,39.199999999999996,2.5,0.0,59.300000000000004
15,127.0.0.1,6.666666666666667,42069.166666666664,5992.821645021645,10187.666666666666,3.1666666666666665,2.1666666666666665,0.0,6.666666666666667,61.06666666666668,2666268790.5666666,33093939.959953886,457385813.0666667,60.166666666666664,2.566666666666667,0.0,61.06666666666668
16,127.0.0.1,1.0,3563.0,3563.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,
