numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,avgNumRequests,avgTamanhoResposta,avgTotalImageSize,avgRequestsJS,avgRequestsHTML,avgRequestsCSS,totalSilenceTime,avgSilenceTime,silenceCount,Label
616,13251397,10176613,177,42,148,61.6,1325139.7,1017661.3,17.7,4.2,14.8,288.0,7.024390243902439,41,1
628,13149893,9992034,184,42,144,62.8,1314989.3,999203.4,18.4,4.2,14.4,288.0,7.024390243902439,41,1
609,12775402,9740697,175,42,144,60.9,1277540.2,974069.7,17.5,4.2,14.4,288.0,7.024390243902439,41,1
574,11935685,9091932,167,41,139,57.4,1193568.5,909193.2,16.7,4.1,13.9,288.0,7.024390243902439,41,1
570,11905841,9010368,160,42,143,57.0,1190584.1,901036.8,16.0,4.2,14.3,287.0,7.0,41,1
570,12143455,9304595,154,42,143,57.0,1214345.5,930459.5,15.4,4.2,14.3,287.0,7.0,41,1
601,12701485,9794305,165,42,154,60.1,1270148.5,979430.5,16.5,4.2,15.4,287.0,7.0,41,1
634,13565843,10502852,174,42,163,63.4,1356584.3,1050285.2,17.4,4.2,16.3,287.0,7.0,41,1
637,13575040,10456795,177,42,159,63.7,1357504.0,1045679.5,17.7,4.2,15.9,287.0,7.0,41,1
665,13717843,10427912,191,42,157,66.5,1371784.3,1042791.2,19.1,4.2,15.7,287.0,7.0,41,1
659,13618346,10387110,188,42,161,65.9,1361834.6,1038711.0,18.8,4.2,16.1,287.0,7.0,41,1
669,14059882,10785887,187,41,163,66.9,1405988.2,1078588.7,18.7,4.1,16.3,280.0,7.0,40,1
660,13947324,10672830,184,41,161,66.0,1394732.4,1067283.0,18.4,4.1,16.1,280.0,7.0,40,1
685,14223492,10790644,190,42,168,68.5,1422349.2,1079064.4,19.0,4.2,16.8,287.0,7.0,41,1
676,14393580,11047235,186,41,164,67.6,1439358.0,1104723.5,18.6,4.1,16.4,280.0,7.0,40,1
629,13365861,10190252,172,41,148,62.9,1336586.1,1019025.2,17.2,4.1,14.8,280.0,7.0,40,1
634,13362906,10153126,173,42,149,63.4,1336290.6,1015312.6,17.3,4.2,14.9,287.0,7.0,41,1
681,14245193,10808304,187,42,160,68.1,1424519.3,1080830.4,18.7,4.2,16.0,287.0,7.0,41,1
643,13720463,10497224,175,41,152,64.3,1372046.3,1049722.4,17.5,4.1,15.2,280.0,7.0,40,1
615,13483781,10423596,163,42,150,61.5,1348378.1,1042359.6,16.3,4.2,15.0,287.0,7.0,41,1
702,15494428,12079242,190,42,170,70.2,1549442.8,1207924.2,19.0,4.2,17.0,287.0,7.0,41,1
684,14520530,11122280,187,41,167,68.4,1452053.0,1112228.0,18.7,4.1,16.7,280.0,7.0,40,1
645,14095435,11012342,176,42,158,64.5,1409543.5,1101234.2,17.6,4.2,15.8,287.0,7.0,41,1
665,14435561,11327780,185,42,159,66.5,1443556.1,1132778.0,18.5,4.2,15.9,287.0,7.0,41,1
677,14464438,11267104,186,41,165,67.7,1446443.8,1126710.4,18.6,4.1,16.5,280.0,7.0,40,1
